Season,Team,AdjTempo,RankAdjTempo,AdjOE,RankAdjOE,AdjDE,RankAdjDE,AdjEM,RankAdjEM,seed,offensive-rebounding-pct,total-rebounding-percentage,three-point-pct,opponent-shooting-pct,Class,R64,R32,S16,E8,FF,CG,
2017,Abl Christian,65.7352,277,96.7143,308,108.767,253,-12.053,300,0, 21.4,45.9,37.1,46.2,DNQ,NO,NO,NO,NO,NO,NO,
2017,Air Force,66.9261,230,104.144,176,109.587,272,-5.44277,224,0, 23.9,50.2,36.3,46.0,DNQ,NO,NO,NO,NO,NO,NO,
2017,Akron,65.5453,284,112.886,42,106.959,217,5.92696,99,0, 27.6,51.0,37.0,44.6,DNQ,NO,NO,NO,NO,NO,NO,
2017,Alabama,64.9821,301,105.461,151,91.9717,11,13.4889,54,0, 33.1,53.8,31.8,40.1,DNQ,NO,NO,NO,NO,NO,NO,
2017,Alab A&M,64.2149,317,91.4217,342,121.635,350,-30.2128,351,0, 25.9,46.4,28.0,47.6,DNQ,NO,NO,NO,NO,NO,NO,
2017,Alabama St,68.3056,158,91.1121,346,112.666,316,-21.5536,342,0, 32.5,50.4,29.4,44.8,DNQ,NO,NO,NO,NO,NO,NO,
2017,Albany,64.0972,321,107.774,112,104.656,174,3.11804,127,0, 30.8,55.0,36.9,43.8,DNQ,NO,NO,NO,NO,NO,NO,
2017,Alcorn State,67.6736,199,95.4874,322,105.852,193,-10.3648,280,0, 29.9,50.5,32.0,42.5,DNQ,NO,NO,NO,NO,NO,NO,
2017,American,64.2375,315,94.8585,328,108.146,242,-13.2873,308,0, 19.8,46.6,31.8,46.9,DNQ,NO,NO,NO,NO,NO,NO,
2017,App State,70.4649,59,99.6286,261,108.745,252,-9.11605,268,0, 26.6,49.7,32.7,47.1,DNQ,NO,NO,NO,NO,NO,NO,
2017,AR Lit Rock,63.1728,335,98.3263,285,104.927,180,-6.601,240,0, 27.0,49.9,33.8,44.9,DNQ,NO,NO,NO,NO,NO,NO,
2017,Arizona,65.6678,278,117.585,20,94.8418,29,22.7427,19,2, 30.3,55.1,39.8,41.5,S16,YES,YES,YES,NO,NO,NO,
2017,Arizona St,69.8814,82,111.844,53,109.24,265,2.60372,131,0, 22.6,45.1,36.6,47.9,DNQ,NO,NO,NO,NO,NO,NO,
2017,Arkansas,69.4151,96,116.639,26,101.04,97,15.5987,38,8, 30.6,50.3,36.8,41.8,R32,YES,YES,NO,NO,NO,NO,
2017,Ark Pine Bl,67.4936,209,85.6539,351,110.855,298,-25.201,348,0, 28.1,46.5,34.4,45.8,DNQ,NO,NO,NO,NO,NO,NO,
2017,Arkansas St,67.2191,216,106.403,138,103.11,141,3.29373,123,0, 26.7,51.8,37.7,43.6,DNQ,NO,NO,NO,NO,NO,NO,
2017,Army,71.2619,36,98.3817,282,104.817,178,-6.43556,239,0, 23.7,51.1,35.1,44.5,DNQ,NO,NO,NO,NO,NO,NO,
2017,Auburn,73.5005,10,111.72,54,103.446,158,8.27424,83,0, 27.9,48.4,36.6,43.7,DNQ,NO,NO,NO,NO,NO,NO,
2017,Austin Peay,69.8971,80,106.062,142,117.146,342,-11.0841,288,0, 21.9,44.5,35.2,49.4,DNQ,NO,NO,NO,NO,NO,NO,
