Season,Team,AdjTempo,RankAdjTempo,AdjOE,RankAdjOE,AdjDE,RankAdjDE,AdjEM,RankAdjEM,seed,Class,R64,R32,S16,E8,FF,CG,C
2014,Mount St. Mary's,68.4474,37,107.491,124,111.241,292,-3.75021,207,16,DNQ,NO,NO,NO,NO,NO,NO,NO
2014,Texas Southern,65.8018,124,106.018,151,112.768,321,-6.75033,248,16,DNQ,NO,NO,NO,NO,NO,NO,NO
2014,Albany,61.7185,314,102.179,218,103.893,157,-1.71363,187,16,R64,YES,NO,NO,NO,NO,NO,NO
2014,Cal Poly,58.8564,347,103.247,202,103.846,156,-0.599368,172,16,R64,YES,NO,NO,NO,NO,NO,NO
2014,Coastal Carolina,65.898,117,97.0064,299,102.979,142,-5.97261,236,16,R64,YES,NO,NO,NO,NO,NO,NO
2014,Weber St.,63.2017,263,106.025,150,106.516,211,-0.49027,170,16,R64,YES,NO,NO,NO,NO,NO,NO
2014,American,59.8927,343,103.925,193,98.0491,59,5.87548,107,15,R64,YES,NO,NO,NO,NO,NO,NO
2014,Eastern Kentucky,64.6059,192,111.315,58,108.295,244,3.01993,137,15,R64,YES,NO,NO,NO,NO,NO,NO
2014,Milwaukee,65.9973,114,104.63,181,104.266,164,0.3633,163,15,R64,YES,NO,NO,NO,NO,NO,NO
2014,Wofford,60.7578,335,100.924,241,102.947,141,-2.02301,191,15,R64,YES,NO,NO,NO,NO,NO,NO
2014,Mercer,63.9334,226,108.78,106,101.313,109,7.46633,98,14,R32,YES,YES,NO,NO,NO,NO,NO
2014,Louisiana Lafayette,68.8604,29,109.939,84,104.85,171,5.08877,114,14,R64,YES,NO,NO,NO,NO,NO,NO
2014,North Carolina Central,62.708,287,107.276,128,98.9836,71,8.29208,89,14,R64,YES,NO,NO,NO,NO,NO,NO
2014,Western Michigan,65.2493,155,106.443,137,102.024,122,4.41973,124,14,R64,YES,NO,NO,NO,NO,NO,NO
2014,Delaware,70.5569,10,111.299,59,105.513,189,5.78601,109,13,R64,YES,NO,NO,NO,NO,NO,NO
2014,Manhattan,68.0296,44,106.544,136,96.9886,52,9.55527,77,13,R64,YES,NO,NO,NO,NO,NO,NO
2014,New Mexico St.,65.3613,146,112.746,44,102.113,123,10.6331,71,13,R64,YES,NO,NO,NO,NO,NO,NO
2014,Tulsa,67.1059,68,105.972,153,96.6323,46,9.33939,79,13,R64,YES,NO,NO,NO,NO,NO,NO
2014,Xavier,64.4463,202,113.691,36,98.6757,65,15.0151,40,12,DNQ,NO,NO,NO,NO,NO,NO,NO
2014,Harvard,64.1253,217,112.027,50,94.7095,28,17.3178,32,12,R32,YES,YES,NO,NO,NO,NO,NO
2014,North Dakota St.,63.0184,271,116.004,20,103.42,149,12.5832,59,12,R32,YES,YES,NO,NO,NO,NO,NO
2014,Stephen F. Austin,61.7091,315,111.44,56,100.651,98,10.7884,70,12,R32,YES,YES,NO,NO,NO,NO,NO
2014,North Carolina St.,64.734,184,113.205,39,102.658,130,10.5467,73,12,R64,YES,NO,NO,NO,NO,NO,NO
2014,Iowa,69.1598,23,120.152,5,99.1218,73,21.0299,20,11,DNQ,NO,NO,NO,NO,NO,NO,NO
2014,Dayton,63.8792,232,113.694,35,100.71,99,12.9838,56,11,E8,YES,YES,YES,YES,NO,NO,NO
2014,Nebraska,64.698,188,108.82,105,95.6836,38,13.1363,54,11,R64,YES,NO,NO,NO,NO,NO,NO
2014,Providence,63.2914,257,114.031,30,99.2945,75,14.7367,45,11,R64,YES,NO,NO,NO,NO,NO,NO
2014,Tennessee,62.0374,310,115.185,25,93.4414,19,21.7438,14,11,S16,YES,YES,YES,NO,NO,NO,NO
2014,Arizona St.,67.6129,57,110.175,80,94.7808,29,15.3941,37,10,R64,YES,NO,NO,NO,NO,NO,NO
2014,BYU,71.172,5,114.713,27,99.9591,88,14.7544,44,10,R64,YES,NO,NO,NO,NO,NO,NO
2014,Saint Joseph's,64.4393,203,111.261,61,98.2332,60,13.0273,55,10,R64,YES,NO,NO,NO,NO,NO,NO
2014,Stanford,65.271,152,113.435,38,97.4392,56,15.9959,34,10,S16,YES,YES,YES,NO,NO,NO,NO
2014,Pittsburgh,62.7245,286,116.412,17,94.8924,31,21.5198,17,9,R32,YES,YES,NO,NO,NO,NO,NO
2014,George Washington,65.8095,122,110.212,79,95.9821,42,14.2297,48,9,R64,YES,NO,NO,NO,NO,NO,NO
2014,Kansas St.,63.6653,242,108.305,113,93.9099,22,14.3949,46,9,R64,YES,NO,NO,NO,NO,NO,NO
2014,Oklahoma St.,66.9981,73,115.772,21,94.2393,23,21.5328,16,9,R64,YES,NO,NO,NO,NO,NO,NO
2014,Kentucky,64.6236,191,116.202,19,95.0512,32,21.1505,19,8,CG,YES,YES,YES,YES,YES,YES,NO
2014,Gonzaga,64.5603,194,113.594,37,92.9558,15,20.6386,22,8,R32,YES,YES,NO,NO,NO,NO,NO
2014,Memphis,67.8621,48,111.252,62,96.3212,44,14.9304,43,8,R32,YES,YES,NO,NO,NO,NO,NO
2014,Colorado,65.097,163,107.9,117,95.4275,35,12.4727,60,8,R64,YES,NO,NO,NO,NO,NO,NO
2014,Connecticut,63.4064,253,111.355,57,92.2385,12,19.1162,25,7,C,YES,YES,YES,YES,YES,YES,YES
2014,Oregon,67.8101,49,118.258,9,99.4749,80,18.783,27,7,R32,YES,YES,NO,NO,NO,NO,NO
2014,Texas,67.2135,64,110.262,78,95.2735,33,14.9889,41,7,R32,YES,YES,NO,NO,NO,NO,NO
2014,New Mexico,64.7417,182,113.782,34,96.2346,43,17.5475,31,7,R64,YES,NO,NO,NO,NO,NO,NO
2014,North Carolina,69.426,17,111.545,54,93.1571,16,18.3881,29,6,R32,YES,YES,NO,NO,NO,NO,NO
2014,Massachusetts,70.3142,13,109.841,86,95.6537,37,14.1875,49,6,R64,YES,NO,NO,NO,NO,NO,NO
2014,Ohio St.,64.0434,222,109.354,94,87.6797,3,21.6743,15,6,R64,YES,NO,NO,NO,NO,NO,NO
2014,Baylor,61.1487,329,118.684,8,100.799,100,17.8854,30,6,S16,YES,YES,YES,NO,NO,NO,NO
2014,Saint Louis,65.5822,137,105.599,160,89.8073,8,15.792,35,5,R32,YES,YES,NO,NO,NO,NO,NO
2014,Cincinnati,61.2764,327,109.197,96,90.1186,9,19.0788,26,5,R64,YES,NO,NO,NO,NO,NO,NO
2014,Oklahoma,69.9669,16,117.886,12,99.4806,81,18.4058,28,5,R64,YES,NO,NO,NO,NO,NO,NO
2014,VCU,69.3132,18,108.679,109,88.4655,5,20.2135,23,5,R64,YES,NO,NO,NO,NO,NO,NO
2014,Michigan St.,64.3969,205,118.203,10,94.4143,24,23.7886,11,4,E8,YES,YES,YES,YES,NO,NO,NO
2014,Louisville,67.4981,58,119.102,7,88.5345,6,30.5677,1,4,S16,YES,YES,YES,NO,NO,NO,NO
2014,San Diego St.,62.8054,281,109.055,99,89.2312,7,19.8236,24,4,S16,YES,YES,YES,NO,NO,NO,NO
2014,UCLA,68.6469,33,118.14,11,95.8826,41,22.2575,13,4,S16,YES,YES,YES,NO,NO,NO,NO
2014,Creighton,63.9037,229,125.701,1,100.913,101,24.7882,9,3,R32,YES,YES,NO,NO,NO,NO,NO
2014,Syracuse,59.7435,344,114.707,28,93.2029,17,21.5042,18,3,R32,YES,YES,NO,NO,NO,NO,NO
2014,Duke,64.8311,178,124.75,2,99.4399,77,25.3098,6,3,R64,YES,NO,NO,NO,NO,NO,NO
2014,Iowa St.,70.4795,11,116.764,16,95.8121,39,20.9515,21,3,S16,YES,YES,YES,NO,NO,NO,NO
2014,Michigan,61.5484,318,122.369,3,99.5935,82,22.7757,12,2,E8,YES,YES,YES,YES,NO,NO,NO
2014,Wisconsin,62.7652,285,120.678,4,96.8522,50,23.8262,10,2,FF,YES,YES,YES,YES,YES,NO,NO
2014,Kansas,66.8907,78,119.974,6,94.5731,27,25.4011,5,2,R32,YES,YES,NO,NO,NO,NO,NO
2014,Villanova,65.8913,118,117.154,14,91.8909,10,25.2627,7,2,R32,YES,YES,NO,NO,NO,NO,NO
