Season,TeamName,AdjTempo,RankAdjTempo,AdjOE,RankAdjOE,AdjDE,RankAdjDE,AdjEM,RankAdjEM,seed
2018,Virginia,59.1912,351,116.528,21,84.3753,1,32.1527,1,1
2018,Villanova,68.277,168,127.384,1,95.9749,22,31.4091,2,1
2018,Duke,70.0021,78,122.602,3,93.467,7,29.1348,3,2
2018,Cincinnati,64.6798,322,113.155,54,86.158,2,26.9966,4,2
2018,Purdue,67.2291,219,123.248,2,96.5818,28,26.6663,5,2
2018,Michigan St.,67.1449,222,119.983,9,93.6364,9,26.3461,6,3
2018,North Carolina,70.9501,50,121.959,4,96.9241,34,25.0348,7,2
2018,Gonzaga,68.9851,125,119.824,12,95.0891,17,24.7352,8,4
2018,Kansas,68.4279,161,120.933,6,97.6938,46,23.2388,9,1
2018,Michigan,64.3592,333,115.9,29,92.7095,5,23.1909,10,3
2018,Tennessee,66.1739,271,114.839,40,92.6901,4,22.1486,11,3
2018,Texas Tech,66.5709,248,114.03,46,92.0873,3,21.9424,12,3
2018,West Virginia,69.0413,117,119.151,14,97.3766,39,21.7748,13,5
2018,Xavier,70.4307,61,120.74,7,99.0492,59,21.6909,14,1
2018,Ohio St.,66.3996,260,116.15,27,95.0408,16,21.1094,15,5
2018,Auburn,72.2946,21,118.196,16,97.5614,44,20.6348,16,4
2018,Houston,68.2176,174,115.787,31,95.2473,18,20.5396,17,6
2018,Kentucky,68.5818,154,116.426,25,96.019,23,20.4069,18,5
2018,Clemson,65.6205,297,113.774,48,93.5052,8,20.2693,19,5
2018,Wichita St.,68.6357,149,121.925,5,101.857,107,20.068,20,4
2018,Arizona,67.313,215,119.012,15,99.6425,70,19.3692,21,4
2018,TCU,68.7039,142,120.625,8,101.705,104,18.9201,22,6
2018,Florida,66.7986,239,115.14,37,96.4262,25,18.7137,23,6
2018,Nevada,69.4886,99,119.901,10,101.72,105,18.1814,24,7
2018,Butler,67.8456,189,115.758,32,97.8916,48,17.8667,25,10
2018,Seton Hall,69.3438,104,116.335,26,98.9994,58,17.3352,26,8
2018,Creighton,70.8444,53,116.454,22,99.1744,61,17.2792,27,8
2018,Saint Mary's,63.7541,341,119.828,11,102.67,119,17.158,28,0
