KenPomName,TeamRankingsName,TeamID
Abilene Christian,Abl Christian ,1
Air Force,Air Force ,2
Akron,Akron ,3
Alabama,Alabama ,4
Alabama A&M,Alab A&M ,5
Alabama St.,Alabama St ,6
Albany,Albany ,7
Alcorn St.,Alcorn State ,8
American,American ,9
Appalachian St.,App State ,10
Little Rock,AR Lit Rock ,11
Arizona,Arizona ,12
Arizona St.,Arizona St ,13
Arkansas,Arkansas ,14
Arkansas Pine Bluff,Ark Pine Bl ,15
Arkansas St.,Arkansas St ,16
Army,Army ,17
Auburn,Auburn ,18
Austin Peay,Austin Peay ,19
Ball St.,Ball State ,20
Baylor,Baylor ,21
Belmont,Belmont ,22
Bethune Cookman,Beth-Cook ,23
Binghamton,Binghamton ,24
Boise St.,Boise State ,25
Boston College,Boston Col ,26
Boston University,Boston U ,27
Bowling Green,Bowling Grn ,28
Bradley,Bradley ,29
Brown,Brown ,30
Bryant,Bryant ,31
Bucknell,Bucknell ,32
Buffalo,Buffalo ,33
Butler,Butler ,34
BYU,BYU ,35
Cal Poly,Cal Poly ,36
Cal St. Bakersfield,CS Bakersfld ,37
Cal St. Fullerton,CS Fullerton ,38
Cal St. Northridge,Cal St Nrdge ,39
California,California ,40
Campbell,Campbell ,41
Canisius,Canisius ,42
Central Arkansas,Central Ark ,43
Central Connecticut,Central Conn ,44
Central Michigan,Central Mich ,45
Charleston Southern,Charl South ,46
Charlotte,Charlotte ,47
Chattanooga,Chattanooga ,48
Chicago St.,Chicago St ,49
Cincinnati,Cincinnati ,50
The Citadel,Citadel ,51
Clemson,Clemson ,52
Cleveland St.,Cleveland St ,53
Coastal Carolina,Coastal Car ,54
Colgate,Colgate ,55
College of Charleston,Col Charlestn ,56
Colorado,Colorado ,57
Colorado St.,Colorado St ,58
Columbia,Columbia ,59
Connecticut,Connecticut ,60
Coppin St.,Coppin State ,61
Cornell,Cornell ,62
Creighton,Creighton ,63
Dartmouth,Dartmouth ,64
Davidson,Davidson ,65
Dayton,Dayton ,66
Delaware,Delaware ,67
Delaware St.,Delaware St ,68
Denver,Denver ,69
DePaul,DePaul ,70
Detroit,Detroit ,71
Drake,Drake ,72
Drexel,Drexel ,73
Duke,Duke ,74
Duquesne,Duquesne ,75
East Carolina,E Carolina ,76
East Tennessee St.,E Tenn St ,77
Eastern Illinois,E Illinois ,78
Eastern Kentucky,E Kentucky ,79
Eastern Michigan,E Michigan ,80
Eastern Washington,E Washingtn ,81
Elon,Elon ,82
Evansville,Evansville ,83
Fairfield,Fairfield ,84
Fairleigh Dickinson,F Dickinson ,85
FIU,Florida Intl ,86
Florida,Florida ,87
Florida A&M,Florida A&M ,88
